Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Starting side,Rounds,Team rating,Entries,Clutches,Map,Tournament,Date,Team1,Team2,ResultTeam1,ResultTeam2,T1pick,Bets,choices,MatchID
Plopski,23 (14),9 (4),14,92.0%,9,91.8,4,1.52,NIP,117891,t,9 : 16 ( 5 : 10 ) ( 4 : 6 ),0.83 : 1.24,10 : 15,2 : 0,Inferno,ESL Pro League Season 13,9th of April 2021,Complexity,NIP,1,2,NA,1.44 / 2.62,"1. Complexity removed Train
2. NIP removed Vertigo
3. Complexity picked Mirage
4. NIP picked Overpass
5. Complexity removed Nuke
6. NIP removed Dust2
7. Inferno was left over",2347025
nawwk,24 (4),6 (2),13,80.0%,11,79.2,5,1.41,NIP,117891,t,9 : 16 ( 5 : 10 ) ( 4 : 6 ),0.83 : 1.24,10 : 15,2 : 0,Inferno,ESL Pro League Season 13,9th of April 2021,Complexity,NIP,1,2,NA,1.44 / 2.62,"1. Complexity removed Train
2. NIP removed Vertigo
3. Complexity picked Mirage
4. NIP picked Overpass
5. Complexity removed Nuke
6. NIP removed Dust2
7. Inferno was left over",2347025
hampus,20 (7),15 (7),15,96.0%,5,99.3,1,1.41,NIP,117891,t,9 : 16 ( 5 : 10 ) ( 4 : 6 ),0.83 : 1.24,10 : 15,2 : 0,Inferno,ESL Pro League Season 13,9th of April 2021,Complexity,NIP,1,2,NA,1.44 / 2.62,"1. Complexity removed Train
2. NIP removed Vertigo
3. Complexity picked Mirage
4. NIP picked Overpass
5. Complexity removed Nuke
6. NIP removed Dust2
7. Inferno was left over",2347025
ztr,15 (8),6 (2),12,88.0%,3,61.4,-4,1.05,NIP,117891,t,9 : 16 ( 5 : 10 ) ( 4 : 6 ),0.83 : 1.24,10 : 15,2 : 0,Inferno,ESL Pro League Season 13,9th of April 2021,Complexity,NIP,1,2,NA,1.44 / 2.62,"1. Complexity removed Train
2. NIP removed Vertigo
3. Complexity picked Mirage
4. NIP picked Overpass
5. Complexity removed Nuke
6. NIP removed Dust2
7. Inferno was left over",2347025
REZ,11 (4),4 (0),16,72.0%,-5,64.3,-1,0.82,NIP,117891,t,9 : 16 ( 5 : 10 ) ( 4 : 6 ),0.83 : 1.24,10 : 15,2 : 0,Inferno,ESL Pro League Season 13,9th of April 2021,Complexity,NIP,1,2,NA,1.44 / 2.62,"1. Complexity removed Train
2. NIP removed Vertigo
3. Complexity picked Mirage
4. NIP picked Overpass
5. Complexity removed Nuke
6. NIP removed Dust2
7. Inferno was left over",2347025
xseveN,21 (9),7 (3),19,64.0%,2,104.6,-2,1.2,HAVU,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
sLowi,16 (12),2 (1),21,56.0%,-5,70.0,0,0.8,HAVU,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
jemi,12 (5),5 (1),19,68.0%,-7,56.6,-3,0.79,HAVU,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
ZOREE,11 (4),3 (0),18,60.0%,-7,47.6,-3,0.7,HAVU,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Aerial,9 (4),3 (0),19,52.0%,-10,48.3,-1,0.61,HAVU,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
El1an,31 (8),3 (2),10,88.0%,21,112.4,7,2.01,ex-Winstrike,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Krad,21 (10),6 (2),17,80.0%,4,87.9,0,1.29,ex-Winstrike,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Lack1,16 (9),3 (3),13,84.0%,3,60.7,3,1.18,ex-Winstrike,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
NickelBack,16 (7),8 (3),15,76.0%,1,73.6,-2,1.1,ex-Winstrike,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Forester,12 (7),5 (0),14,80.0%,-2,69.2,1,1.09,ex-Winstrike,117879,ct,9 : 16 ( 4 : 11 ) ( 5 : 5 ),0.82 : 1.33,8 : 17,3 : 1,Overpass,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,0,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Aerial,26 (11),2 (0),19,60.0%,7,90.6,1,1.23,HAVU,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
xseveN,21 (12),3 (0),21,73.3%,0,84.5,4,1.16,HAVU,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
sLowi,18 (12),6 (0),20,76.7%,-2,85.0,-4,1.05,HAVU,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
ZOREE,19 (3),2 (1),17,66.7%,2,63.5,4,0.99,HAVU,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
jemi,14 (7),5 (2),23,53.3%,-9,54.3,-1,0.62,HAVU,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
NickelBack,24 (8),2 (0),18,76.7%,6,93.3,-1,1.3,ex-Winstrike,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Lack1,25 (12),2 (0),20,63.3%,5,79.4,0,1.16,ex-Winstrike,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Krad,18 (12),8 (1),22,73.3%,-4,73.0,0,0.98,ex-Winstrike,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
El1an,15 (5),2 (0),15,66.7%,0,53.5,-4,0.89,ex-Winstrike,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Forester,18 (10),1 (0),23,63.3%,-5,60.7,1,0.84,ex-Winstrike,117883,t,16 : 14 ( 8 : 7 ) ( 8 : 7 ),1.01 : 1.03,17 : 13,1 : 1,Nuke,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,1,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
xseveN,32 (18),6 (0),25,85.7%,7,103.4,5,1.45,HAVU,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
ZOREE,20 (3),6 (2),24,65.7%,-4,67.4,0,0.97,HAVU,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
jemi,21 (10),5 (0),24,65.7%,-3,63.8,-2,0.91,HAVU,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
sLowi,25 (11),3 (2),24,60.0%,1,67.1,-5,0.86,HAVU,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Aerial,18 (12),8 (1),27,62.9%,-9,71.1,-3,0.8,HAVU,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
El1an,35 (5),4 (2),24,68.6%,11,84.7,7,1.4,ex-Winstrike,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Krad,27 (11),9 (1),23,74.3%,4,84.0,4,1.31,ex-Winstrike,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
NickelBack,22 (11),13 (4),20,80.0%,2,79.9,0,1.09,ex-Winstrike,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Lack1,22 (6),6 (1),23,74.3%,-1,70.1,-4,0.99,ex-Winstrike,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Forester,18 (15),3 (0),26,62.9%,-8,59.6,-2,0.7,ex-Winstrike,117885,t,19 : 16 ( 9 : 6 ) ( 6 : 9 ) ( 4 : 1 ),1.00 : 1.10,15 : 20,4 : 1,Mirage,Funspark ULTI 2021 Europe Regional Series 1,9th of April 2021,HAVU,ex-Winstrike,2,1,NA,1.57 / 2.25,"1. ex-Winstrike removed Inferno
2. HAVU removed Vertigo
3. ex-Winstrike picked Overpass
4. HAVU picked Nuke
5. ex-Winstrike removed Train
6. HAVU removed Dust2
7. Mirage was left over",2347738
Ax1Le,33 (17),3 (1),13,87.0%,20,153.0,5,2.27,Gambit,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
Hobbit,20 (10),6 (0),14,73.9%,6,97.1,0,1.44,Gambit,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
nafany,16 (6),2 (0),13,82.6%,3,72.9,2,1.28,Gambit,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
sh1ro,17 (5),6 (3),11,78.3%,6,62.0,1,1.21,Gambit,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
interz,9 (6),4 (2),13,69.6%,-4,40.7,-3,0.78,Gambit,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
dupreeh,18 (10),2 (0),18,65.2%,0,79.5,2,1.06,Astralis,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
Magisk,14 (8),4 (0),20,65.2%,-6,75.0,0,0.81,Astralis,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
Xyp9x,15 (5),3 (0),21,65.2%,-6,71.1,-1,0.8,Astralis,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
device,11 (3),4 (0),18,60.9%,-7,68.4,-2,0.77,Astralis,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
gla1ve,6 (3),4 (1),19,52.2%,-13,36.0,-4,0.39,Astralis,117849,t,16 : 7 ( 11 : 4 ) ( 5 : 3 ),1.40 : 0.76,14 : 9,2 : 1,Overpass,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,1,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
Ax1Le,28 (12),5 (1),14,89.3%,14,92.9,0,1.48,Gambit,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
sh1ro,18 (3),9 (2),13,78.6%,5,69.8,0,1.21,Gambit,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
nafany,23 (11),3 (0),20,53.6%,3,89.0,1,1.2,Gambit,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
interz,17 (10),7 (1),17,78.6%,0,66.8,-1,1.11,Gambit,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
Hobbit,18 (7),3 (1),16,60.7%,2,78.6,0,1.04,Gambit,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
gla1ve,19 (13),5 (1),20,71.4%,-1,79.4,1,1.16,Astralis,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
device,21 (10),3 (0),23,64.3%,-2,79.8,2,1.02,Astralis,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
Magisk,20 (11),4 (2),19,57.1%,1,65.2,-2,0.88,Astralis,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
dupreeh,12 (8),4 (1),21,50.0%,-9,49.6,0,0.63,Astralis,117851,ct,16 : 12 ( 8 : 7 ) ( 8 : 5 ),1.21 : 0.85,14 : 14,0 : 1,Inferno,ESL Pro League Season 13,8th of April 2021,Gambit,Astralis,2,0,0,2.00 / 1.72,"1. Gambit removed Nuke
2. Astralis removed Mirage
3. Gambit picked Overpass
4. Astralis picked Inferno
5. Gambit removed Dust2
6. Astralis removed Train
7. Vertigo was left over",2347017
